Nom du produit,Marque,Capacité,Référence,Type de disque,Prix,Site web,Catégorie
"Seagate FireCuda ST4000DXA05, 3.5"", 4 To, 7200 tr/min",Seagate,4 TB,ST4000DXA05,Disque dur de 3.5 pouces,149,bol.com,DISQUE DUR
Western Digital My Book Duo disque dur externe 24000 Go Noir,Western Digital,24 TB,WDBFBE0240JBK-EESN,Disque dur de 3.5 pouces,779,bol.com,DISQUE DUR
"6 TB, SATA 6Gb/s, 26.11 x 101.85 x 146.99 mm, 716 g",Seagate,6 TB,ST6000NT001,Disque dur de 3.5 pouces,219,bol.com,DISQUE DUR
Toshiba Canvio Advance disque dur externe 2000 Go Noir,Toshiba,2 TB,HDTCA20EK3AA,Disque dur de 2.5 pouces,90,bol.com,DISQUE DUR
Disque dur externe Seagate Basic 2000 Go Argent,Seagate,2 TB,STJL2000400,Disque dur de 2.5 pouces,84,bol.com,DISQUE DUR
"Toshiba P300, 3.5"", 2 To, 7200 tr/min",Toshiba,2 TB,HDWD320UZSVA,Disque dur de 3.5 pouces,67,bol.com,DISQUE DUR
"Western Digital WDBFTM0040BBL-WESN disque dur externe 4000 Go Noir, Bleu",Western Digital,4 TB,WDBFTM0040BBL-WESN,Disque dur de 3.5 pouces,171,bol.com,DISQUE DUR
"Western Digital Blue, 3.5"", 2 To, 5400 tr/min",Western Digital Blue,2 TB,WD20EZAZ,Disque dur de 3.5 pouces,72,bol.com,DISQUE DUR
WD - Western Digital WD Black Game Drive SSD D30 bureau 500 Go pour Xbox,Western Digital,500 GB,WDBAMF5000ABW-WESN,Disque dur de 3.5 pouces,99,bol.com,DISQUE DUR
"12TB, RED Pro 256MB, SATA 6Gb/s, 3.5-inch, 7200RPM",Western Digital,12 TB,WD121KFBX,Disque dur de 3.5 pouces,364,bol.com,DISQUE DUR
"8 To, 3.5"", SATA, 7200 rpm, 256 Mo cache",WD,8 TB,WD8001PURP,Disque dur de 3.5 pouces,243,bol.com,DISQUE DUR
Dutch Wanted Eaget Disque dur externe SSD portable - 2 To de stockage Solide - Vitesse d'écriture rapide - Plug and play - Stockage portable - Stockage externe PC ou ordinateur portable - USB 3.2 - Extension rapide du disque dur,Dutch Wanted,2 TB,2024-EG55-2000GB,Disque dur de 2.5 pouces,119,bol.com,DISQUE DUR
"Verbatim Disque dur portable USB Store 'n' Go 3.0, 1 To - Bleu",Verbatim,1 TB,53196,Disque dur de 2.5 pouces,71,bol.com,DISQUE DUR
"4TB, SATA 6Gb/s, HDD 3.5"", 256 MB, 5400 RPM",Western Digital RED,4 TB,WD40EFAX,Disque dur de 3.5 pouces,157,bol.com,DISQUE DUR
"UNIONSINE® Disque dur externe - Disque dur - Disque dur PS4 - Disque dur externe - Plug And Play - 500 Go - SSD externe - Portable - 2,5 pouces - Compatible avec Windows/Mac/Linux/Android/TV/ PC/Laptop/Ps4/ Xbox - USB 3.0 - USB 2.0 - Antidérapant",Merkloos / Sans marque,500 GB,Merkloos,Disque dur de 2.5 pouces,74,bol.com,DISQUE DUR
"4TB SATAIII, 6Gb/s, 3.5'', 64MB cache",Seagate,4 TB,Skyhawk,Disque dur de 3.5 pouces,148,bol.com,DISQUE DUR
"Synology ?HAT3300-6T NAS 6TB SATA 3.5 HDD, 3.5"", 6,14 To, 5400 tr/min",Synology,6 TB,HAT3300-6T,Disque dur de 3.5 pouces,183,bol.com,DISQUE DUR
Disque dur externe BMetics - Disque dur 500 Go - Zwart,Merkloos / Sans marque,500 GB,-,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,59,bol.com,DISQUE DUR
Toshiba Canvio Advance disque dur externe 1000 Go Rouge,Toshiba,1 TB,HDTCA10ER3AA,Disque dur de 2.5 pouces,73,bol.com,DISQUE DUR
Toshiba Canvio Basics 2TB disque dur externe 2000 Go Noir,Toshiba,2 TB,HDTB320EK3CA,Disque dur de 2.5 pouces,101,bol.com,DISQUE DUR
"Seagate Enterprise ST18000NM004J, 3.5"", 18 To, 7200 tr/min",Seagate,18 TB,ST18000NM004J,Disque dur de 3.5 pouces,357,bol.com,DISQUE DUR
Étui de transport pour disque dur externe avec Protection contre les chocs-étui de protection étanche pour disque dur EVA - Zwart,Merkloos / Sans marque,1 TB,1,Disque dur de 2.5 pouces,62,bol.com,DISQUE DUR
Disque dur 2.4 To SAS 12G Mission Critical 10 000 tr/min Petit facteur de forme (2.5 pouces) BC 512e ISE,HPE,2 TB,P28352-B21,Disque dur de 2.5 pouces,384,bol.com,DISQUE DUR
"16 TB, 1x USB 3.1 Type-C, 440 MB/s, 217x118x88.5 mm, 2.9 kg",LaCie,16 TB,STHJ160008,Disque dur de 3.5 pouces | Disque dur de 2.5 pouces,886,bol.com,DISQUE DUR
"16 TB, SATA 6Gb/s, 26.11 x 101.85 x 146.99 mm, 670 g",Seagate,16 TB,ST16000NT001,Disque dur de 3.5 pouces,362,bol.com,DISQUE DUR
"Synology Plus Series HAT3310-12T - Disque dur - 12 To - interne - 3.5"" - SATA 6Gbs - 7200 tr/min - 260 Mo/s",Synology,12 TB,HAT3310-12T,Disque dur de 3.5 pouces,326,bol.com,DISQUE DUR
Madame Le disque dur externe Jones Cable prend en charge le disque dur HDD-SDD USB3. 0 Câble de conversion de lecture haute vitesse avec boîtier de protection - Wit .,Mrs. Jones,1.2 TB,0.1,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,57,bol.com,DISQUE DUR
"Synology Plus HDD 16 To 3,5 Zoll SATA HAT3310-16T",Synology,16 TB,HAT3310-16T,Disque dur de 3.5 pouces,398,bol.com,DISQUE DUR
"1TB, 3.5"", SATA 6Gb/s, 7200 RPM, 128MB Cache",Western Digital,1 TB,WD1005FBYZ,Disque dur de 3.5 pouces,110,bol.com,DISQUE DUR
"Toshiba MG Series, 3.5"", 20 To, 7200 tr/min",Toshiba,20 TB,MG10ACA20TE,Disque dur de 3.5 pouces,365,bol.com,DISQUE DUR
Symply SPARK XT Desktop 8 baies Thunderbolt 3 RAID 112 To inc HardCase 5Yr (SY-SYSPK-DX88MAT3112),symply,120 TB,SYSPK-DX88MAT3112,Disque dur de 2.5 pouces,9799,bol.com,DISQUE DUR
"UnionSine Disque dur externe externe 1 To Disque dur portable Ultra fin Câble USB Stockage HDD compatible pour PC, Mac, ordinateur portable, Xbox, Xbox One, PS4 (Zwart) HD-006 - 500 Go - Blauw",Merkloos / Sans marque,500 GB,6150807037014,Disque dur de 2.5 pouces,59,bol.com,DISQUE DUR
Madame Jones SATA vers USB - Câble tressé en nylon - Adaptateur convertisseur de disque dur SATA 25 pouces - Transfert de données SSD/ HDD .,Mrs. Jones,1.2 TB,0.1,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,44,bol.com,DISQUE DUR
"8TB, 3.5"", SATA 6Gb/s, 128MB, 5640 rpm",Western Digital,8 TB,WD84PURZ,Disque dur de 3.5 pouces,259,bol.com,DISQUE DUR
"Verbatim Disque dur portable USB Store 'n' Go 3.0, 1 To, noir",Verbatim,1 TB,53023,Disque dur de 3.5 pouces,71,bol.com,DISQUE DUR
SanDisk G-DRIVE disque dur externe 12000 Go Acier inoxydable,SanDisk Professional,12 TB,SDPHF1A-012T-MBAAD,Disque dur de 3.5 pouces,439,bol.com,DISQUE DUR
Toshiba P300 - Disque dur interne - 2 TB,Toshiba,2 TB,6013715328356,Disque dur de 3.5 pouces,94,bol.com,DISQUE DUR
Drive dur externe Dual USB-C Oyen Digital Avastor HDX PRO C 10 To avec boîtier de verrouillage (HDXP-C-10TB- LB),Oyen Digital,10 TB,HDXP-C-10T-LB,Disque dur de 3.5 pouces,504,bol.com,DISQUE DUR
"22To, USB 3.0/USB 2.0, AES 256 bits",Western Digital,,WDBBGB0220HBK-EESN,Disque dur de 3.5 pouces,539,bol.com,DISQUE DUR
"Verbatim Disque dur portable USB Store 'n' Go 3.0, 2 To, noir",Verbatim,2 TB,VB-53177,Disque dur de 2.5 pouces,83,bol.com,DISQUE DUR
"Seagate Barracuda 6TB, 3.5"", 6 To, 5400 tr/min",Seagate,6 TB,8719706004626,Disque dur de 3.5 pouces,167,bol.com,DISQUE DUR
SanDisk Professional G-DRIVE ArmorLock SSD 1 To 1 000 Mo/s USB-C 10 Gbit/s SSD NVMe portable chiffré Ultra robuste (SDPS41A-001T-GBANB),SanDisk Professional,1 TB,SDPS41A-001T-GBANB,Disque dur de 2.5 pouces,316,bol.com,DISQUE DUR
Toshiba Canvio Slim disque dur externe 2000 Go Argent,Toshiba,2 TB,HDTD320ES3EA,Disque dur de 2.5 pouces,121,bol.com,DISQUE DUR
"iStorage diskAshur DT 2 disque dur externe 2000 Go Noir, Graphite",iStorage,2 TB,IS-DT2-256-2000-C-G,Disque dur de 3.5 pouces,263,bol.com,DISQUE DUR
Vis pour support disque dur Playstation 4 Slim/ Pro,ConsoleFixit,1 TB,6150629643660,Disque dur de 2.5 pouces,7,bol.com,DISQUE DUR
"6To, 3.5"", SATA III, 6 Gbps, 7200 RPM, 256MB",Toshiba,6 TB,HDWG160EZSTA,Disque dur de 3.5 pouces,175,bol.com,DISQUE DUR
Disque dur externe portable / Zwart / Haute vitesse 1 To / Stockage de masse Mini/ Interface USB 3.0 pour Ordinateurs portables/ Ordinateur,Merkloos / Sans marque,1 TB,Geen,Disque dur de 2.5 pouces,69,bol.com,DISQUE DUR
Madame Boîtier de disque dur Jones pour 2 disques durs - Noir avec boîtier de disque dur externe portable USB 2.5 pour 1/2/3/4 To - 2021 .,Mrs. Jones,1.2 TB,0.1,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,60,bol.com,DISQUE DUR
SSD externe Vx500 USB 3.1 Gen 2 2 To externe,Verbatim,2 TB,47454/OT1,,124,bol.com,DISQUE DUR
Western Digital My Passport disque dur externe 1000 Go Noir,Western Digital,1 TB,WDBYNN0010BBK-WESN,Disque dur de 2.5 pouces,199,bol.com,DISQUE DUR
Western Digital My Passport Ultra - Compatible Mac - Disque dur externe - Argent - 6 To,Western Digital,6 TB,WDBGKC0060BSL-WESN,Disque dur de 3.5 pouces,235,bol.com,DISQUE DUR
iStorage iStorageAshur M2 - disque dur externe - SSD M2 - 1 To - USB - 256 bits - Zwart,iStorage,1 TB,IS-DAM2-256-1000,Disque dur de 2.5 pouces,254,bol.com,DISQUE DUR
"500Go, 3.5"", SATA 6Gb/s, 5400 RPM, 64Mo",Western Digital,500 GB,WD5000AZRZ,Disque dur de 3.5 pouces,47,bol.com,DISQUE DUR
Verbatim Store 'n' Save disque dur externe 6000 Go Noir,Verbatim,6 TB,47686,Disque dur de 3.5 pouces,179,bol.com,DISQUE DUR
Verbatim Store 'n' Save 2 To USB 3.0,Verbatim,2 TB,VB-47683,Disque dur de 3.5 pouces,90,bol.com,DISQUE DUR
"Disque dur externe Disque dur externe portable Ultra fin de 500 Go Câble USB Stockage HDD compatible pour PC, Mac, ordinateur portable, Xbox, Xbox One, PS4 (Zwart) HD-006 - 500 Go - Blauw",Merkloos / Sans marque,1 TB,x,Disque dur de 2.5 pouces,89,bol.com,DISQUE DUR
Disque dur externe - 320 GB - Argent,Merkloos / Sans marque,320 GB,-,Disque dur de 2.5 pouces,54,bol.com,DISQUE DUR
"S300 Surveillance, 8 TB, 3.5"", 6 Gbit/s, 7200 tpm, 256 MB, 4.17 ms, 5V DC, 147x101.85x26.1 mm",Toshiba,8 TB,HDWT380UZSVA,Disque dur de 3.5 pouces,204,bol.com,DISQUE DUR
Oyen Digital Avastor HDX PRO C Drive dur externe Dual USB-C 8 To avec LockBox (HDXP-C-8TB LB),Oyen Digital,8 TB,HDXP-C-8T-LB,Disque dur de 3.5 pouces,430,bol.com,DISQUE DUR
Apricorn Aegis Fortress FIPS Niveau 3 - HDD externe - 5 To,Apricorn,5 TB,AFL3-5TB,Disque dur de 2.5 pouces,515,bol.com,DISQUE DUR
Disque dur Western Digital Purple WD85PURZ 8 To 5 400 tr/min 256 Mo SATA III,Western Digital,8 TB,WD85PURZ,Disque dur de 3.5 pouces,209,bol.com,DISQUE DUR
"16To, Standard Model FastFormat, 12Gb/s SAS, 7200RPM, 256MB Cache",Seagate,16 TB,ST16000NM004J,Disque dur de 3.5 pouces,349,bol.com,DISQUE DUR
"1 TB, 256MB cache, SATA III, 3.5"", 20.17x101.6x147 mm, 415 g",Seagate,1 TB,ST1000DM014,Disque dur de 3.5 pouces,72,bol.com,DISQUE DUR
Oyen Digital Novus 16 To Disque dur de bureau externe robuste USB-C - Compatible PS4,Oyen Digital,16 TB,3N1-C-16T-BL,Disque dur de 3.5 pouces,516,bol.com,DISQUE DUR
"2 To, 3.5"", SATA 6Gb/s, 7200 RPM, 128Mo",Western Digital,2 TB,WD2005FBYZ,Disque dur de 3.5 pouces,151,bol.com,DISQUE DUR
Gembird HD32-U2S-5,xxlshop,1 TB,HD32-U2S-5,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,26,bol.com,DISQUE DUR
"Disque dur Seagate Exos 7E8 4 To (3,5"") SAS 12 Gb/s ST4000NM003A en Bulk",Seagate,4 TB,ST4000NM003A,Disque dur de 3.5 pouces,130,bol.com,DISQUE DUR
"LC-DOCK- U3-VI Station d'accueil et de copie, 2x SATA 2,5""/3,5"", USB 3.0",Lc-Power,40 TB,LC-DOCK-U3-VI,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,36,bol.com,DISQUE DUR
"Kioxia EXCERIA G2, 1 To, M.2, 2100 Mo/s, 32 Gbit/s",Kioxia,1 TB,LRC20Z001TG8,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,63,bol.com,DISQUE DUR
"2 To, 3.5"", SATA 6Gb/s, 7200 RPM, 64Mo",Western Digital,2 TB,WD2003FZEX,Disque dur de 3.5 pouces,178,bol.com,DISQUE DUR
Western Digital My Book Duo - Disque dur externe - 44 To,Western Digital,44 TB,WDBFBE0440JBK-EESN,Disque dur de 3.5 pouces,1798,bol.com,DISQUE DUR
"Western Digital Red Pro disque dur interne 24 To 7200 pouces min 512 Mo 3,5 pouces SATA",Western Digital,24 TB,WD240KFGX,Disque dur de 3.5 pouces,725,bol.com,DISQUE DUR
Toshiba Canvio Advance disque dur externe 4000 Go Blanc,Toshiba,4 TB,HDTCA40EW3CA,Disque dur de 2.5 pouces,127,bol.com,DISQUE DUR
Drive dur Seagate EXOS 7E10 8 To,Seagate,8 TB,ST8000NM017B,Disque dur de 3.5 pouces,204,bol.com,DISQUE DUR
"Disques durs de surveillance optimisés pour l'intelligence artificielle, 3.5"", 8 TB, 256 Mb, 235 MB/s, SATA III, 550 TB/yr",Seagate,8 TB,ST8000VE001,Disque dur de 3.5 pouces,226,bol.com,DISQUE DUR
USB3. 0 à câble 25 pouces câble HDD transfert de données disque dur convertisseur de disque pour Ordinateur PC disque dur SSD externe 25 pouces 150 Mo/s - transfert de données par câble USB.,Merkloos / Sans marque,1 TB,99,Disque dur de 3.5 pouces,41,bol.com,DISQUE DUR
"Disque dur externe portable 100 Go - USB 2.0 - Vitesse, polyvalence et fiabilité pour toutes vos données - Compatible avec MAC, PC, ordinateur portable et plus - Zwart",Merkloos / Sans marque,120 GB,0,Disque dur de 2.5 pouces,43,bol.com,DISQUE DUR
"Digittrade RS256 1000 Go 3,5 pouces SATA II",DIGITTRADE,1 TB,DG-RS256-1000SSD,Disque dur de 2.5 pouces,89,bol.com,DISQUE DUR
Disque dur externe DailySupplies® - Portable - Stockage 1 To - Zwart,DailySupplies®,1 TB,6150714613615,Disque dur de 2.5 pouces,129,bol.com,DISQUE DUR
Madame Disque dur crypté Jones USB 3.0 3 To Disque dur sécurisé portable SATA Accès par mot de passe Matériel Boîtier de disque externe crypté.,Mrs. Jones,1.2 TB,0.1,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,85,bol.com,DISQUE DUR
Disque dur externe de bureau robuste USB-C Oyen Digital Novus de 22 To (3N1-C-22T- BL),Oyen Digital,,3N1-C-22T-BL,Disque dur de 3.5 pouces,730,bol.com,DISQUE DUR
"6 To, 3,5"", SATA 6 Gb/s, CMR",Western Digital,6 TB,WD60EFPX,Disque dur de 3.5 pouces,181,bol.com,DISQUE DUR
"Western Digital Laptop Everyday, 2.5"", 500 Go, 5400 tr/min",Western Digital,500 GB,WDBMYH5000ANC-ERSN,Disque dur de 2.5 pouces,46,bol.com,DISQUE DUR
"2 TB, SATA 6Gb/s, 26.11 x 101.85 x 146.99 mm, 620 g",Seagate,2 TB,ST2000NT001,Disque dur de 3.5 pouces,141,bol.com,DISQUE DUR
"M.2, 2000 gb, SATA 6GB/s, 2.5"", 560 / 530 MB/s",Western Digital,2 TB,WDS200T1R0B,Disque dur de 2.5 pouces,180,bol.com,DISQUE DUR
Disque dur externe 5 To,Merkloos / Sans marque,5 TB,-,Disque dur de 2.5 pouces,1564,bol.com,DISQUE DUR
Drive dur MSI SPATIUM M371 NVME M.2 500 GB,MSI,500 GB,SPATIUMM371,Disque dur de 2.5 pouces,54,bol.com,DISQUE DUR
SanDisk G-DRIVE disque dur externe 22000 Go Acier inoxydable,SanDisk Professional,,SDPHF1A-022T-MBAAD,Disque dur de 3.5 pouces,797,bol.com,DISQUE DUR
"6 To, 7200 tr/mn, Thunderbolt 3, USB-C 3.2 Gen 2",SanDisk Professional,6 TB,SDPHG1H-006T-MBAAD,Disque dur de 3.5 pouces,445,bol.com,DISQUE DUR
"HDD dur 8 To SATA HAT3310-8T 3,5 PO",Synology,8 TB,HAT3310-8T,Disque dur de 3.5 pouces,242,bol.com,DISQUE DUR
Western Digital My Passport - Compatible Mac - Disque dur externe - Blauw - 6 To,Western Digital,6 TB,WDBK6C0060BBL-WESN,Disque dur de 2.5 pouces,209,bol.com,DISQUE DUR
"Lenovo 7N47A00129, 32 Go, M.2, 260 Mo/s, 6 Gbit/s",Lenovo,320 GB,7N47A00129,Disque dur de 2.5 pouces,40,bol.com,DISQUE DUR
"Seagate One Touch Portable 2 To Disque dur externe (2,5 pouces) USB 3.2 Gen 1 (USB 3.0) Bleu clair STKB2000402",Seagate,2 TB,STKB2000402,Disque dur de 2.5 pouces,95,bol.com,DISQUE DUR
"Station d'accueil pour disque dur, station d'accueil pour disque dur externe USB 3.0 vers SATA pour HDD dur ou SSD SATA 2,5 et 3,5 pouces, prise en charge du clonage hors ligne, lecteur de carte TF et SD",Merkloos / Sans marque,,YPZ04-S2,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,67,bol.com,DISQUE DUR
Disque dur externe - Disque dur - 1 To - Portable - Disque dur externe - Must pour toutes vos photos et fichiers supplémentaires !,Merkloos / Sans marque,1 TB,-,Disque dur de 2.5 pouces,112,bol.com,DISQUE DUR
"Synology HAT5300, 3.5"", 12 To, 7200 tr/min",Synology,12 TB,HAT5300-12T,Disque dur de 3.5 pouces,499,bol.com,DISQUE DUR
"SureFire Gaming disque dur externe 2000 Go Noir, Gris",Surefire Gaming,2 TB,53682,Disque dur de 2.5 pouces,99,bol.com,DISQUE DUR
iStorage diskAshur DT3 HDD – disque dur externe – 24 To – USB – 256 bits – Zwart,iStorage,24 TB,IS-DT3-256-24000-F,Disque dur de 3.5 pouces,1880,bol.com,DISQUE DUR
"Lenovo 7XB7A00055, 3.5"", 1 To, 7200 tr/min",Lenovo,1 TB,7XB7A00055,Disque dur de 3.5 pouces,65,bol.com,DISQUE DUR
Disque SSD interne Crucial CT1000T705SSD3 1 To M.2 PCI Express 5.0 NVMe,Crucial,1 TB,CT1000T705SSD3,Disque dur de 2.5 pouces,163,bol.com,DISQUE DUR
Baie de Drive USB-C Fortis 5C 5 baies Oyen Digital 100 To (5FU3-C-100T),Oyen Digital,120 TB,5FU3-C-100T,Disque dur de 3.5 pouces,3148,bol.com,DISQUE DUR
"4 To, 3.5"", SATA 6Gb/s, 7200 RPM, 256Mo",Western Digital,4 TB,WD4005FZBX,Disque dur de 3.5 pouces,234,bol.com,DISQUE DUR
Baie de Drive durs Oyen Digital Mobius 2C RAID 2 baies USB-C 24 To,Oyen Digital,32 TB,3R2C-32T,Disque dur de 3.5 pouces,1093,bol.com,DISQUE DUR
"HPE P09722-B21, 1,92 To, 2.5"", 535 Mo/s, 6 Gbit/s",Hewlett Packard Enterprise,2 TB,P09722-B21,Disque dur de 2.5 pouces,649,bol.com,DISQUE DUR
iStorage iStorageAshur Pro2 SSD - disque dur externe - 8 To - SSD - Code numérique - Zwart - Graphite,iStorage,8 TB,IS-DAP2-256-SSD-8000-C-G,Disque dur de 2.5 pouces,2099,bol.com,DISQUE DUR
Oyen Digital Avastor HDX PRO C Drive dur externe Dual USB-C 18 To avec LockBox (HDXP-C-18TB- LB),Oyen Digital,18 TB,HDXP-C-18T-LB,Disque dur de 3.5 pouces,634,bol.com,DISQUE DUR
Toshiba Canvio Advance disque dur externe 1000 Go Noir,Toshiba,1 TB,HDTCA10EK3AA,Disque dur de 2.5 pouces,73,bol.com,DISQUE DUR
"HGST Ultrastar C10K1800 1,2 To 2,5 pouces 1200 Go SAS",HGST,1.2 TB,0B27977,Disque dur de 3.5 pouces,487,bol.com,DISQUE DUR
iStorage diskAshur 2 disque dur externe 5000 Go Noir,iStorage,5 TB,IS-DA2-256-5000-B,Disque dur de 2.5 pouces,609,bol.com,DISQUE DUR
Symply SPARK Desktop 8 baies Thunderbolt 3 RAID 112 To inc HardCase 5Yr (SY-SYSPK-DX88HDT3112),symply,120 TB,SYSPK-DX88HDT3112,Disque dur de 2.5 pouces,7984,bol.com,DISQUE DUR
Madame Jones Housse de protection disque dur externe 25 pouces - portable - antichoc - coque rigide - noir.,Mrs. Jones,1.2 TB,0.1,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,40,bol.com,DISQUE DUR
"Disque dur interne Western Digital Blue WD20EARZ 2 To 5400 tr/min 64 Mo 3,5"" SATA III",Western Digital,2 TB,WD20EARZ,Disque dur de 3.5 pouces,88,bol.com,DISQUE DUR
"Western Digital Red Pro, 3.5"", 16 To, 7200 tr/min",Western Digital RED,16 TB,WD161KFGX,Disque dur de 3.5 pouces,440,bol.com,DISQUE DUR
"500Go, 3.5"", SATA 6Gb/s, 7200 RPM, 32Mo",Western Digital,500 GB,WD5000AZLX,Disque dur de 3.5 pouces,64,bol.com,DISQUE DUR
Drive dur portable robuste Oyen Digital 8 To MiniPro V4 RAID USB-C,Oyen Digital,8 TB,2RV4-HD-8T,Disque dur de 2.5 pouces,452,bol.com,DISQUE DUR
Disque dur externe portable HDD - Blauw - 1 To - Flash USB 3.0 pour ordinateur portable PC MacBook PS4 PS5,Merkloos / Sans marque,1 TB,Nvt,Disque dur de 2.5 pouces,109,bol.com,DISQUE DUR
"6TB, 3.5"", SATA 6Gb/s, 5400 RPM, 256Mo",Western Digital Blue,6 TB,0718037855684,Disque dur de 3.5 pouces,272,bol.com,DISQUE DUR
"Seagate ST22000NM000E disque dur interne 22 To 7200 tr/min 512 Mo 3,5"" SAS",Seagate,,ST22000NM000E,Disque dur de 3.5 pouces,528,bol.com,DISQUE DUR
"Synology HAT5300-4T, 3.5"", 4 To, 7200 tr/min",Synology,4 TB,HAT5300-4T,Disque dur de 3.5 pouces,229,bol.com,DISQUE DUR
"Transcend SSD 512 Go ESD310P portable, USB 10 Gbit/s, Type-C/A",Transcend,512 GB,TS512GESD310P,Disque dur de 2.5 pouces,69,bol.com,DISQUE DUR
Drive dur Seagate ST1000VN008 1 To SSD,Seagate,1 TB,ST1000VN008,Disque dur de 3.5 pouces,79,bol.com,DISQUE DUR
HP 2TB 6G SATA 7.2K rpm SFF (2.5-inch) SC 512e 1yr Warranty Hard Drive,HPE,2 TB,765455-B21,Disque dur de 2.5 pouces,489,bol.com,DISQUE DUR
Seagate One Touch disque dur externe 2000 Go Argent,Seagate,2 TB,STKB2000401,Disque dur de 2.5 pouces,106,bol.com,DISQUE DUR
"16 To, 7200 tr/mn, 2x Thunderbolt 3",SanDisk Professional,16 TB,SDPHH2H-016T-MBAAD,Disque dur de 3.5 pouces,1019,bol.com,DISQUE DUR
Disque HDD SecureDrive KP 2 To - Code PIN - FIPS 140-2 niveau 3 validé,SecureDrive,2 TB,SD-KP-12-BL2000GB,Disque dur de 2.5 pouces,472,bol.com,DISQUE DUR
Disque dur externe - Disque dur 2 To - Portable/2 To,Merkloos / Sans marque,2 TB,-,Disque dur de 2.5 pouces,,bol.com,DISQUE DUR
